"construct_id","n","items","alpha","status","evidence_status"
"anti-domination",40,103,-1.5682695792798,"NOT_EVALUABLE","NOT_EVALUATED"
"authority-legitimacy",40,51,-5.25120009044488,"NOT_EVALUABLE","NOT_EVALUATED"
"centralization-preference",40,62,-1.40858336275497,"NOT_EVALUABLE","NOT_EVALUATED"
"coercion-strategy",40,22,0.148043032512952,"NOT_EVALUABLE","NOT_EVALUATED"
"compromise-vs-persistence",40,9,-0.676505037961108,"NOT_EVALUABLE","NOT_EVALUATED"
"coordination-optimism",40,8,-0.618463371054199,"NOT_EVALUABLE","NOT_EVALUATED"
"cultural-plasticity",40,9,-1.3656642815703,"NOT_EVALUABLE","NOT_EVALUATED"
"democratic-confidence",40,9,-0.329990454328507,"NOT_EVALUABLE","NOT_EVALUATED"
"electoralism-vs-direct-action",40,9,-0.0598604877521227,"NOT_EVALUABLE","NOT_EVALUATED"
"equality-theory",40,45,-1.30144999105077,"NOT_EVALUABLE","NOT_EVALUATED"
"expert-confidence",40,8,-2.04349476652747,"NOT_EVALUABLE","NOT_EVALUATED"
"gradualism-vs-immediatism",40,14,-3.40213772560014,"NOT_EVALUABLE","NOT_EVALUATED"
"human-nature-priority",40,10,-0.390267860516076,"NOT_EVALUABLE","NOT_EVALUATED"
"liberty-noninterference",40,95,-10.0189852700491,"NOT_EVALUABLE","NOT_EVALUATED"
"market-process-confidence",40,11,0.429568295734016,"NOT_EVALUABLE","NOT_EVALUATED"
"militarism-pacifism",40,10,0.281279965905459,"NOT_EVALUABLE","NOT_EVALUATED"
"moral-traditionalism",40,24,-3.35466668567823,"NOT_EVALUABLE","NOT_EVALUATED"
"political-community-boundary",40,22,-0.683097928436912,"NOT_EVALUABLE","NOT_EVALUATED"
"property-legitimacy",40,39,-1.87756510859072,"NOT_EVALUABLE","NOT_EVALUATED"
"public-choice-skepticism",40,16,-0.223754251849774,"NOT_EVALUABLE","NOT_EVALUATED"
"redistribution-vs-predistribution",40,20,-2.62355738309112,"NOT_EVALUABLE","NOT_EVALUATED"
"reform-vs-revolution",40,9,0.4190160131456,"NOT_EVALUABLE","NOT_EVALUATED"
"regulation-vs-deregulation",40,77,-1.13675719760024,"NOT_EVALUABLE","NOT_EVALUATED"
"secularism-religious",40,12,0.440702059380642,"NOT_EVALUABLE","NOT_EVALUATED"
"state-action-vs-exit",40,68,-3.6894101833165,"NOT_EVALUABLE","NOT_EVALUATED"
"state-capacity-confidence",40,9,-2.49242298084929,"NOT_EVALUABLE","NOT_EVALUATED"
